Date,Category,Description,Amount
2026-01-01,Food,Breakfast at cafe,120
2026-01-02,Transport,Bus pass,500
2026-01-03,Food,Lunch,80
2026-01-05,Shopping,Books,450
2026-01-07,Food,Dinner with friends,350
2026-01-10,Transport,Uber,180
2026-01-12,Entertainment,Movie ticket,200
2026-01-15,Food,Groceries,800
2026-01-18,Shopping,Clothes,1200
2026-01-20,Transport,Bus,40
2026-01-22,Food,Snacks,60
2026-01-25,Entertainment,Streaming subscription,199
2026-01-28,Food,Restaurant,450
2026-01-30,Shopping,Stationery,150
2026-02-01,Food,Breakfast,90
2026-02-03,Transport,Auto,120
2026-02-05,Food,Lunch,75
2026-02-08,Shopping,Accessories,600
2026-02-10,Entertainment,Concert ticket,500
2026-02-14,Food,Valentine dinner,800
2026-02-18,Transport,Uber,220
2026-02-20,Food,Groceries,750
2026-02-24,Shopping,Books,300
2026-02-28,Food,Dinner,400
